postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2847,31,446.94,400.0,37.0,678.43,398.0,1225.97,138,915.07,2.0,880.87,1.0,2447.0,1.19,0.44
2848,59,332.29,350.0,67.0,883.99,475.0,842.09,231,798.05,1.0,802.66,1.0,1540.0,1.14,0.44
2849,25,418.6,400.0,21.0,1369.29,884.0,1229.62,104,981.51,4.0,955.47,4.0,1610.0,0.84,0.41
2850,795,618.7,580.0,745.0,819.41,511.0,1720.28,2249,996.52,5.0,965.21,5.0,19146.0,0.94,0.58
2852,111,518.18,500.0,131.0,822.85,450.0,1562.94,333,960.29,3.0,922.03,3.0,3734.0,1.18,0.52
2864,11,466.82,465.0,11.0,997.0,554.0,1047.0,33,1015.96,6.0,985.43,6.0,824.0,1.0,0.46
2865,13,398.46,400.0,14.0,735.5,386.5,1140.43,29,981.67,4.0,939.25,3.0,927.0,1.08,0.41
2866,56,407.32,410.0,60.0,805.18,498.0,1122.92,204,1012.8,6.0,975.82,5.0,3112.0,1.07,0.4
2867,7,382.86,390.0,7.0,553.14,281.0,913.57,17,969.94,4.0,944.38,4.0,636.0,1.0,0.4
2868,8,341.25,365.0,8.0,698.25,303.0,629.5,21,951.77,3.0,929.04,3.0,579.0,1.0,0.38
2869,15,344.67,320.0,19.0,788.63,538.0,857.74,104,902.22,1.0,905.33,2.0,1528.0,1.27,0.36
2870,420,437.12,420.0,397.0,836.23,545.0,1245.77,1290,953.55,3.0,925.45,3.0,12036.0,0.94,0.44
2871,297,406.87,400.0,274.0,989.65,550.5,1028.38,922,967.02,3.0,939.15,3.0,8965.0,0.92,0.41
2873,15,306.67,300.0,8.0,363.5,129.0,1030.0,22,981.71,4.0,969.65,5.0,560.0,0.53,0.31
2874,2,322.5,322.5,2.0,2671.0,2671.0,716.5,12,912.36,2.0,930.44,3.0,369.0,1.0,0.35
2875,8,272.5,270.0,8.0,872.5,681.5,860.38,26,972.41,4.0,961.21,5.0,802.0,1.0,0.28
2877,73,325.34,310.0,90.0,760.24,488.5,942.08,292,938.7,2.0,922.52,3.0,3575.0,1.23,0.33
2878,2,175.0,175.0,2.0,3328.0,3328.0,160.5,31,891.38,1.0,901.07,2.0,286.0,1.0,0.2
2879,9,161.11,140.0,6.0,716.0,661.0,444.67,37,870.25,1.0,884.6,1.0,577.0,0.67,0.16
2880,479,344.46,320.0,479.0,886.88,547.0,734.03,2090,916.88,2.0,895.94,2.0,18097.0,1.0,0.35
2898,2,550.0,550.0,1.0,1176.0,1176.0,1800.0,6,1052.64,8.0,1014.26,7.0,445.0,0.5,0.52
