postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
2534,1075.9337173,9.0,1067.7619175,9.0,5767.0
2535,1044.9568077,8.0,1026.5351903,8.0,7993.0
2536,970.21677717,4.0,933.5516213,3.0,19333.0
2537,1006.2375344,6.0,965.42902133,5.0,12981.0
2538,1042.6018157,8.0,1005.3174587,7.0,2580.0
2539,992.44407633,5.0,950.72555042,4.0,20305.0
2540,989.13862631,5.0,954.30482609,4.0,48267.0
2541,923.5891009,2.0,904.26070485,2.0,28038.0
2545,987.10420258,5.0,956.00728562,4.0,1117.0
2546,986.27256016,5.0,946.33522983,4.0,10066.0
2548,1012.3344464,6.0,973.52090398,5.0,8419.0
2549,1013.8950438,6.0,964.55517307,5.0,4101.0
2550,981.31105198,4.0,946.97796698,4.0,16936.0
2551,912.94891859,2.0,882.37898649,1.0,3718.0
2555,949.21064104,3.0,988.30438708,6.0,168.0
2556,1017.0598341,6.0,999.33224902,7.0,2433.0
2557,1043.2717595,8.0,1063.2115035,9.0,20103.0
2558,973.86239926,4.0,953.90571245,4.0,11099.0
2559,710.6700926,1.0,783.39530754,1.0,2991.0
2560,940.64565517,2.0,939.09555513,3.0,82543.0
2563,984.51481217,4.0,966.83327785,5.0,276.0
2564,866.07266655,1.0,883.79067836,1.0,14198.0
2565,1007.4729491,6.0,1024.7845772,8.0,31588.0
2566,951.69744206,3.0,947.54706296,4.0,27796.0
2567,1046.3487983,8.0,1040.7922076,8.0,40951.0
2568,1085.7391573,10.0,1067.0190178,9.0,1252.0
2569,1065.3141094,9.0,1037.4913021,8.0,1386.0
2570,1046.1006204,8.0,1046.5382675,8.0,63663.0
2571,1060.9928526,9.0,1044.4971303,8.0,13174.0
2572,1016.8818343,6.0,990.76289126,6.0,5484.0
2573,978.99912954,4.0,954.04050206,4.0,5777.0
2574,1010.8223852,6.0,977.49706737,5.0,5934.0
2575,1032.0243358,7.0,1008.3841663,7.0,17846.0
